entidad,n_fondos,importe_total,sog_medio,res_medio,via_medio,score_medio,icr,score_riesgo,nivel_riesgo
Consejo de Alcaldes y Oficina de Planificación del Área Metropolitana de San Salvador (COAMSS/OPAMSS),1,900000.0,45.0,44.0,55.0,39.949999999999996,2.5,34.3,Medio
Coordinadora por los Derechos de la Infancia y de la Adolescencia,1,100000.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
Corporacion Caribe Afirmativo,1,164964.0,25.0,44.0,70.0,35.95,2.5,30.9,Medio
Corporación Inst Ciencias Indígena,1,250000.0,25.0,44.0,48.0,31.55,2.5,27.2,Medio
Corporación Manos Visibles,1,250000.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
Corporación Misión de Observación Electoral,1,500000.0,45.0,44.0,55.0,39.949999999999996,2.5,34.3,Medio
Corporación de Estudios de Opinión Pública Latinoamericana - Latinobar,2,400000.0,25.0,44.0,70.0,35.95,2.5,30.9,Medio
Cruz Roja Española,7,6372803.0,45.0,44.0,63.857142857142854,41.72142857142857,2.5,35.8,Medio
Cruz Roja Panameña,1,280000.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
Cámara Oficial de Comercio de España en Peru,2,700000.0,25.0,44.0,52.5,32.45,2.5,28.0,Medio
Cámara Paraguaya de Turismo de las Misiones Jesuitas,1,80000.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
Cáritas Española,5,4012847.0,41.0,44.0,69.6,41.47,2.5,35.6,Medio
Cáritas Venezuela,2,410000.0,25.0,44.0,80.0,37.95,2.5,32.6,Medio
Cáritas de Honduras,1,399999.0,25.0,44.0,62.0,34.35,2.5,29.6,Medio
DEMUS - Estudio para la Defensa de los Derechos de la Mujer,1,300000.0,25.0,44.0,50.0,31.95,2.5,27.5,Medio
DG ECHO - Dirección General de Protección Civil y Operaciones de Ayuda Humanitaria Europeas,2,2000000.0,45.0,44.0,72.0,43.349999999999994,2.5,37.2,Medio
"Decidamos, Campaña Por la Expresión",1,215000.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
Defensoría del Pueblo de Bolivia,1,200000.0,25.0,44.0,52.0,32.35,2.5,27.9,Medio
Departamento de Nariño,1,1500000.0,45.0,44.0,55.0,39.949999999999996,2.5,34.3,Medio
Departamento de la Guajira,1,400000.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
Departamento del Cauca,1,500000.0,45.0,44.0,55.0,39.949999999999996,2.5,34.3,Medio
Distrito Drag,1,150000.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
ECA - Asociación Escuela Complutense Africana,1,130000.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
ECREEE - ECOWAS Centre for Renewable Energy and Energy Efficiency,7,4057685.0,36.42857142857143,44.0,69.28571428571429,39.80714285714286,2.5,34.2,Medio
ECTA - Autoridad Etíope del Café y del Té,1,102995.0,25.0,44.0,65.0,34.95,2.5,30.1,Medio
EIAR - Ethiopian Institute for Agricultural Research,1,350000.0,25.0,44.0,65.0,34.95,2.5,30.1,Medio
Egoaizia Asociación para la Cooperacion,1,85240.0,25.0,44.0,65.0,34.95,2.5,30.1,Medio
Encuentros Servicio Jesuita de la Solidaridad,1,350000.0,25.0,44.0,50.0,31.95,2.5,27.5,Medio
Enraíza Derechos,2,1006315.0,35.0,44.0,53.5,36.15,2.5,31.1,Medio
Escuela de Jueces Estado de Bolivia,1,200000.0,25.0,44.0,52.0,32.35,2.5,27.9,Medio
