id,titulo,entidad,sectores_crs,pais_region,importe_eur,fecha,fuente,url_recurso,codigo_crs,ambito,region_ocde,score_cruce,en_place,score_cruce_bdns,en_bdns,id_bdns,eslabon_corte,nombre_eslabon,score_trazabilidad,ruptura_r1,ruptura_r2,ruptura_r3,es_ooii,score_riesgo,score_trazabilidad_inv,score_integrado,clasificacion
z11-25-01-04003,Seguridad alimentaria y nutrición y promoción del derecho a la alimentación adecuada,FAO - Organización de las Naciones Unidas para la Alimentación y la Agricultura,52010 - Ayuda Alimentaria,Países en Vías de Desarrollo (No Especificado),500000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z11-25-01-04003,52010,Sector 52xx,No Especificado,0,False,58.57142857142856,False,,3,Registro en OOII / BDNS,42,True,True,True,True,46.7,58,51.22,NARANJA
z11-25-01-03902,Fortalecimiento de capacidades institucionales en América Latina,CHUB7 - United Nations,15110 - Política de administración y gestión del sector público; 15160 - Derechos humanos; 15180 - Prevención y eliminación de violencia contra mujeres y niñas,América Latina y Caribe (No Especificado),350000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z11-25-01-03902,15110,Gobernabilidad Democrática,No Especificado,0,False,59.45945945945945,False,,4,Destino geográfico declarado,56,False,True,False,False,32.1,44,36.86,AMARILLO
z11-25-01-03901,"Igualdad de género, autonomía de las mujeres y sociedad del cuidado",CHUB7 - United Nations,15160 - Derechos humanos; 15180 - Prevención y eliminación de violencia contra mujeres y niñas,América Latina y Caribe (No Especificado),300000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z11-25-01-03901,15160,Gobernabilidad Democrática,No Especificado,0,False,59.45945945945945,False,,4,Destino geográfico declarado,56,False,True,False,False,32.1,44,36.86,AMARILLO
z11-25-01-03806,Fortalecimiento del liderazgo de las mujeres rurales en la acuicultura en África Occidental,ECREEE - ECOWAS Centre for Renewable Energy and Energy Efficiency,15170 - Organizaciones e instituciones de la igualdad de las mujeres; 31120 - Desarrollo agrario; 31320 - Desarrollo pesquero; 32130 - Desarrollo de PYMES; 31381 - Educación / formación pesquera,"Nigeria, Senegal",600000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z11-25-01-03806,15170,Gobernabilidad Democrática,África Subsahariana,100,True,49.55752212389381,False,,5,Contratos publicados en PLACE/OCDS,70,False,False,True,False,32.6,30,31.56,AMARILLO
z11-25-01-03703,Coordinación de la cooperación internacional en Etiopía,PNUD - Programa de las Naciones Unidas para el Desarrollo,15110 - Política de administración y gestión del sector público,Etiopía,25000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z11-25-01-03703,15110,Gobernabilidad Democrática,África Subsahariana,100,True,60.0,False,,3,Registro en OOII / BDNS,42,True,False,False,True,40.1,58,47.260000000000005,AMARILLO
z11-25-01-02905,Apoyo a la Organización Panamericana de la Salud (OPS) para reforzar su fortaleza institucional,OPS - Organización Panamericana de la Salud,12110 - Política sanitaria y gestión administrativa; 12250 - Control de enfermedades infecciosas,América (No Especificado),500000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z11-25-01-02905,12110,Salud,No Especificado,0,False,56.09756097560976,False,,4,Destino geográfico declarado,56,False,True,True,False,27.0,44,33.8,AMARILLO
z11-25-01-02902,Acceso y calidad de la salud materna y reproductiva,OPS - Organización Panamericana de la Salud,12191 - Servicios médicos,Guatemala,380000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z11-25-01-02902,12191,Salud,América Latina y Caribe,100,True,56.09756097560976,False,,6,Justificantes y evaluaciones públicas,85,False,False,False,False,27.0,15,22.2,VERDE
z11-25-01-02901,Estrategia para la eliminación de la malaria en Costa Rica,OPS - Organización Panamericana de la Salud,12191 - Servicios médicos,Costa Rica,230000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z11-25-01-02901,12191,Salud,América Latina y Caribe,100,True,56.09756097560976,False,,6,Justificantes y evaluaciones públicas,85,False,False,False,False,27.0,15,22.2,VERDE
z11-25-01-02806,Prevención y el tratamiento del cáncer cérvico uterino,OMS - Organización Mundial de la Salud,12110 - Política sanitaria y gestión administrativa,Países en Vías de Desarrollo (No Especificado),1000000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z11-25-01-02806,12110,Salud,No Especificado,0,False,55.072463768115945,False,,3,Registro en OOII / BDNS,42,True,True,True,True,47.2,58,51.52,NARANJA
z11-25-01-02805,Erradicación de la polio y refuerzo de la inmunización global,OMS - Organización Mundial de la Salud,12110 - Política sanitaria y gestión administrativa,Países en Vías de Desarrollo (No Especificado),100000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z11-25-01-02805,12110,Salud,No Especificado,0,False,55.072463768115945,False,,3,Registro en OOII / BDNS,42,True,True,False,True,47.2,58,51.52,NARANJA
