Fecha,Seccion,Organismo,Detalle,Link,Alerta
20260121,tercera,Ver Detalle,CONSEJO NACIONAL DE INVESTIGACIONES CIENTÍFICAS Y TÉCNICASLicitación 01/2026,https://www.boletinoficial.gob.ar/detalleAviso/tercera/2407035/20260121,True
20260121,tercera,Ver Detalle,EJÉRCITO ARGENTINOLicitación Pública 1147/2025,https://www.boletinoficial.gob.ar/detalleAviso/tercera/2407036/20260121,True
20260121,tercera,Ver Detalle,EJÉRCITO ARGENTINOLicitación Pública 1223/2025,https://www.boletinoficial.gob.ar/detalleAviso/tercera/2407037/20260121,True
20260121,tercera,Ver Detalle,CASA DE MONEDA SOCIEDAD ANÓNIMA UNIPERSONALLicitación Pública 966,https://www.boletinoficial.gob.ar/detalleAviso/tercera/2407038/20260121,True
20260121,tercera,Ver Detalle,CASA DE MONEDA SOCIEDAD ANÓNIMA UNIPERSONALLicitación Pública 971/2026,https://www.boletinoficial.gob.ar/detalleAviso/tercera/2407039/20260121,True
20260121,tercera,Ver Detalle,CASA DE MONEDA SOCIEDAD ANÓNIMA UNIPERSONALLicitación Pública 972,https://www.boletinoficial.gob.ar/detalleAviso/tercera/2407040/20260121,True
20260121,tercera,Ver Detalle,BELGRANO CARGAS Y LOGÍSTICA S.A.Concurso Privado BCYL0010/2026,https://www.boletinoficial.gob.ar/detalleAviso/tercera/2407041/20260121,False
20260121,tercera,Ver Detalle,BELGRANO CARGAS Y LOGÍSTICA S.A.Concurso Privado BCYL0012/2026,https://www.boletinoficial.gob.ar/detalleAviso/tercera/2407042/20260121,False
20260121,tercera,Ver Detalle,AGUA Y SANEAMIENTOS ARGENTINOS S.A.Licitación Pública Nacional 64534/2026,https://www.boletinoficial.gob.ar/detalleAviso/tercera/2407043/20260121,True
20260121,tercera,Ver Detalle,EJÉRCITO ARGENTINOLicitación Pública 0015/2026,https://www.boletinoficial.gob.ar/detalleAviso/tercera/2407044/20260121,True
20260121,tercera,Ver Detalle,POLICÍA FEDERAL ARGENTINALicitación Pública 0001/2026,https://www.boletinoficial.gob.ar/detalleAviso/tercera/2407045/20260121,True
20260121,tercera,Ver Detalle,HOSPITAL DE ALTA COMPLEJIDAD EL CALAFATELicitación Pública 0002-2026,https://www.boletinoficial.gob.ar/detalleAviso/tercera/2407046/20260121,True
20260121,tercera,Ver Detalle,POLICÍA FEDERAL ARGENTINALicitación Pública 0099/2025,https://www.boletinoficial.gob.ar/detalleAviso/tercera/2407047/20260121,True
20260121,tercera,Ver Detalle,POLICÍA FEDERAL ARGENTINALicitación Pública 0104/2025,https://www.boletinoficial.gob.ar/detalleAviso/tercera/2406997/20260121,True
20260121,tercera,Ver Detalle,EJÉRCITO ARGENTINOLicitación Pública 0955/2025,https://www.boletinoficial.gob.ar/detalleAviso/tercera/2406998/20260121,True
20260121,tercera,Ver Detalle,EJÉRCITO ARGENTINOLicitación Pública 1226/2025,https://www.boletinoficial.gob.ar/detalleAviso/tercera/2406999/20260121,True
20260121,tercera,Ver Detalle,BELGRANO CARGAS Y LOGÍSTICA S.A.Concurso Privado BCYL0011/2026,https://www.boletinoficial.gob.ar/detalleAviso/tercera/2407000/20260121,False
20260121,tercera,Ver Detalle,EJÉRCITO ARGENTINOLicitación Pública 0010/2026,https://www.boletinoficial.gob.ar/detalleAviso/tercera/2407001/20260121,True
20260121,tercera,Ver Detalle,EJÉRCITO ARGENTINOLicitación Pública 0014/2026,https://www.boletinoficial.gob.ar/detalleAviso/tercera/2407002/20260121,True
20260121,tercera,Ver Detalle,UNIVERSIDAD NACIONAL DE LA PAMPALicitación Pública 01/2026,https://www.boletinoficial.gob.ar/detalleAviso/tercera/2407003/20260121,True
