id,titulo,entidad,sectores_crs,pais_region,importe_eur,fecha,fuente,url_recurso
z04-25-01-00400,Mejora del acceso a servicios de salud en la Franja de Gaza,Médicos del Mundo,72011 - Servicios básicos de salud en emergencias,Palestina,600000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z04-25-01-00400
z04-25-01-00300,Asistencia humanitaria de emergencia en Gaza y Cisjordania,Cruz Roja Española,72011 - Servicios básicos de salud en emergencias,Palestina,600000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z04-25-01-00300
z04-25-01-00200,Protección y atención integral a mujeres y niñas en Gaza,Alianza por la Solidaridad Fundación Española para la Cooperación,72050 - Coordinación de la ayuda y servicios de apoyo,Palestina,600000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z04-25-01-00200
z04-25-01-00100,Respuesta humanitaria para comunidades desplazadas en Cisjordania,Fundación Acción Contra el Hambre,72040 - Asistencia alimentaria de emergencia,Palestina,600000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z04-25-01-00100
z03-25-01-22700,Apoyo a la Coalición por la Igualdad de Derechos a nivel global,ILGA World,15160 - Derechos humanos; 15150 - Fortalecimiento de la sociedad civil,Países en Vías de Desarrollo (No Especificado),290798.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-22700
z03-25-01-22500,Mediación penal y justicia restaurativa para población vulnerable en Paraguay,Centro de Estudios Judiciales del Paraguay,15220 - Construcción de la Paz y prevención y solución de conflictos; 15160 - Derechos humanos,Paraguay,270000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-22500
z03-25-01-22400,Formación en carpintería tradicional y restauración del patrimonio en Perú,Instituto Tecnológico Producción,11330 - Formación profesional,Perú,95000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-22400
z03-25-01-22300,Formación técnica de jóvenes en la Escuela Taller de Amazonas,Universidad Nacional (UNTRM),11330 - Formación profesional,Perú,200000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-22300
z03-25-01-22200,Ayuda alimentaria para mejorar la nutrición en campamentos saharauis,Media Luna Roja Argelina,72040 - Asistencia alimentaria de emergencia,Población Refugiada Saharaui,1240000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-22200
z03-25-01-22100,Restauración ambiental y agricultura sostenible en Haití,Helvetas Swiss Intercooperation,41081 - Educación / formación medioambiental; 41010 - Política medioambiental y gestión administrativa,Haití,600000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-22100
z03-25-01-21800,Apoyo presupuestario para la economía azul en Cabo Verde,Ministerio de Ciencia y Educación de Etiopía,31310 - Política pesquera y gestión administrativa,Cabo Verde,1000000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-21800
z03-25-01-21500,"Apoyo a la participación política en la comarca Ngäbe Buglé, Panamá",IDEA Internacional,15150 - Fortalecimiento de la sociedad civil,Panamá,178000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z03-25-01-21500
