id_convocatoria,numero_bdns,titulo,organo,fecha_publicacion,tipo,estado,url,fuente,importe_total_eur,n_beneficiarios
776051,574491,"Resolución de 7 de julio de 2021 de la Presidencia de la AECID por la que se convocan subvenciones para la realización de proyectos de cooperación para el desarrollo, incluidos los de Educación para el desarrollo y la ciudadanía global en España",AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,2021-07-09,Subvención,,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/574491,BDNS,0.0,0
771694,570134,Resolución de 15 de junio de 2021 de la Presidencia de la AECID. Subvenciones a proyectos de acción humanitaria 2021,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,2021-06-15,Subvención,,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/570134,BDNS,0.0,0
768259,566699,"Resolución de la Presidencia de la AECID, por la que se aprueba la convocatoria del Programa de Becas MAEC-AECID para capacitación de jóvenes españoles en las Oficinas Técnicas de Cooperación de la AECID, curso académico 2021-2022.",AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,2021-05-27,Subvención,,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/566699,BDNS,0.0,0
756256,554696,"Resolución de la Presidencia de la Agencia Española de Cooperación Internacional para el Desarrollo, por la que se aprueba la convocatoria del Programa de Becas MAEC-AECID, Becas del Agua, para ciudadanos de países de América Latina, curso académico 2021-2022.",AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,2021-03-24,Subvención,,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/554696,BDNS,0.0,0
742787,541227,"Resolución de la Presidencia de la Agencia Española de Cooperación Internacional para el Desarrollo, por la que se aprueba la convocatoria de los Programas de Becas MAEC-AECID para ciudadanos de países de América Latina, África y Asia, 2021-2022.",AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,2020-12-22,Subvención,,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/541227,BDNS,0.0,0
742772,541212,"Resolución de la Presidencia de la Agencia Española de Cooperación Internacional para el Desarrollo, por la que se aprueba la convocatoria de los Programas de Becas MAEC-AECID para capacitación de jóvenes españoles y residencias artísticas, 2021-2022.",AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,2020-12-22,Subvención,,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/541212,BDNS,0.0,0
741963,540403,Convocatoria Instrumental Palestina 2020 Contribución voluntaria AECID - UNRWA,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,2020-12-18,Subvención,,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/540403,BDNS,0.0,0
741962,540402,Convocatoria Instrumental Palestina 2020 Contribución voluntaria AECID - ONU MUJERES Programa SAWASYA II,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,2020-12-18,Subvención,,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/540402,BDNS,0.0,0
741960,540400,Convocatoria Instrumental Marruecos 2020 Contribución voluntaria AECID - OCDE MENA,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,2020-12-18,Subvención,,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/540400,BDNS,0.0,0
740471,538911,Resolución de la Presidencia de la Agencia Española de Cooperación Internacional para el Desarrollo por la que se aprueba la convocatoria de Lectorados MAEC-AECID en Universidades Extranjeras para el curso 2021/2022,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,2020-12-14,Subvención,,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/538911,BDNS,0.0,0
713361,511801,Resolución de 19 de junio de 2020 de la Presidencia de la AECID. Subvenciones a proyectos de acción humanitaria 2020,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,2020-06-19,Subvención,,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/511801,BDNS,0.0,0
689073,487513,"Resolución de la Presidencia de la Agencia Española de Cooperación Internacional para el Desarrollo, por la que se aprueba la convocatoria de los Programas de Becas MAEC-AECID de Arte, Educación, Ciencia y Cultura para el curso académico 2020-2021.",AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,2019-12-18,Subvención,,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/487513,BDNS,0.0,0
688465,486905,Resolución de la Presidencia de la Agencia Española de Cooperación Internacional para el Desarrollo por la que se aprueba la convocatoria de Lectorados MAEC-AECID en Universidades Extranjeras para el curso 2020/2021,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,2019-12-16,Subvención,,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/486905,BDNS,0.0,0
652040,450480,Resolución de 15 de abril de la Presidencia de la AECID. Subvenciones a proyectos de acción humanitaria,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,2019-04-16,Subvención,,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/450480,BDNS,0.0,0
644973,443423,"Resolución de la Presidencia de la Agencia Española de Cooperación Internacional para el Desarrollo, por la que se aprueba la convocatoria de los Programas de Becas MAEC-AECID de Arte, Educación, Ciencia y Cultura para el curso académico 2019-2020.",AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,2019-03-11,Subvención,,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/443423,BDNS,0.0,0
630854,429304,Resolución de la Presidencia de la Agencia Española de Cooperación Internacional para el Desarrollo por la que se aprueba la Convocatoria de Lectorados MAEC-AECID en Universidades Extranjeras para el curso 2019/2020.,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,2018-12-17,Subvención,,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/429304,BDNS,0.0,0
622680,421130,Convocatoria Instrumental Haití 2018 Educación Ministerio Educación Fortalecimiento servicios educativos Edukayiti AECID,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,2018-10-28,Subvención,,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/421130,BDNS,0.0,0
618639,417089,Convocatoria Instrumental Subvención nominativa Convenio de colaboración entre la AECID y el IECAH,AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,2018-09-28,Subvención,,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/417089,BDNS,0.0,0
601524,399974,"Resolución de 21 de mayo de 2018, de la Presidencia de la AECID por la que se convocan subvenciones a Acciones de Cooperación para el Desarrollo correspondientes al año 2018 para la realización de proyectos de innovación para el desarrollo",AGENCIA ESTATAL AGENCIA ESPAÑOLA DE COOPERACIÓN INTERNACIONAL PARA EL DESARROLLO,2018-05-22,Subvención,,https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/399974,BDNS,0.0,0
